2018,1,1,2,25,0,4.133,0.74736,79.75,4.2,2.394,3.4509
2018,1,1,3,25,0,4.4965,0.17667,87.75,4.5,3.0546,3.3045
2018,1,1,4,25,0,3.4732,0.94691,74.75,3.6,1.7864,3.1255
2018,1,1,5,25,0,0.8756,0.66582,52.75,1.1,0.14834,1.09
2018,1,1,6,25,0,4.6924,0.26646,86.75,4.7,3.1296,3.5065
2018,1,1,7,25,0,2.2228,1.3488,58.75,2.6,0.61798,2.5255
2018,1,1,8,25,0,3.5932,2.5394,54.75,4.4,0.74514,4.3364
2018,1,1,9,25,0,1.0005,2.5078,21.75,2.7,-1.0658,2.4807
2018,1,1,10,25,0,-0.75829,2.1714,340.75,2.3,-2.0716,0.99922
2018,1,1,11,25,0,0.89547,-0.090169,95.75,0.9,0.69695,0.56943
2018,1,1,12,25,0,1.6729,0.3025,79.75,1.7,0.96899,1.3968
2018,1,1,13,25,0,2.3,0.010036,89.75,2.3,1.6192,1.6334
2018,1,1,14,25,0,2.6502,1.6082,58.75,3.1,0.73683,3.0112
2018,1,1,15,25,0,3.488,-0.28983,94.75,3.5,2.6713,2.2614
2018,1,1,16,25,0,3.9276,-1.488,110.75,4.2,3.8294,1.725
2018,1,1,17,25,0,4.559,-2.5011,118.75,5.2,4.9923,1.4551
2018,1,1,18,25,0,4.2619,-4.0799,133.75,5.9,5.8986,0.12871
2018,1,1,19,25,0,5.2883,-3.9489,126.75,6.6,6.5317,0.94705
2018,1,1,20,25,0,5.5357,-4.604,129.75,7.2,7.1698,0.65881
2018,1,1,21,25,0,6.4837,-5.0202,127.75,8.2,8.1344,1.0348
2018,1,1,22,25,0,7.2941,-2.7635,110.75,7.8,7.1117,3.2036
2018,1,1,23,25,0,5.1395,-3.9794,127.75,6.5,6.448,0.82029
2018,1,2,0,25,0,6.0604,-2.0572,108.75,6.4,5.74,2.8306
2018,1,2,1,25,0,6.5596,-1.3644,101.75,6.7,5.6031,3.6736
2018,1,2,2,25,0,9.3633,-2.1187,102.75,9.6,8.119,5.1227
2018,1,2,3,25,0,8.5987,-1.3235,98.75,8.7,7.0161,5.1444
2018,1,2,4,25,0,8.1929,-1.8539,102.75,8.4,7.1041,4.4824
