4.2,7.2,7.3,4.7,9.9,3.2,5.5,7.3,10.4,NaN,NaN,3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9
4.5,6.9,6.4,5.4,8.6,2.7,3.7,7.1,10.9,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
3.6,6.7,6.3,4.7,7.7,2,2.5,6.7,10.9,NaN,NaN,2.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1
1.1,6.5,5.1,6.1,6.4,3.9,1.4,7.3,9.2,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.7,6,5.2,6.3,6.9,3.1,1.6,6.6,10.3,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.6,6.2,4.8,5.8,5.9,3.8,1.4,6.5,11,NaN,NaN,1.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9
4.4,5.4,5,6.1,6.4,3.2,2.4,6,9.8,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8
2.7,5,4.3,6,7.2,2.7,5.4,5.7,9.5,NaN,NaN,2.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1
2.3,4.4,4,5.2,6.1,3.1,5.4,5.4,10.1,NaN,NaN,2.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6
0.9,4.3,3,6.2,6.4,2.6,2.9,4.8,11.1,NaN,NaN,3.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7,4,2.1,5.3,5.2,3.7,4.4,4.3,11.6,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1
2.3,4,2.5,6.9,6.5,3.7,2.1,3.8,11,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
3.1,4.1,2.2,6.1,5,3.5,2.6,3.4,11.6,NaN,NaN,5.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,3.6,2,6,5.2,4.2,2.4,3.2,10.7,NaN,NaN,6.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9
4.2,3.9,2.4,7.6,5.5,6.3,2.9,3.1,11.6,NaN,NaN,7.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1
5.2,4.1,3.1,7.5,7.1,7.2,4.2,3.4,8.7,NaN,NaN,9.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
5.9,4.5,3.7,6.6,6.4,6.6,3.9,4.2,8.4,NaN,NaN,11.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6
6.6,4.8,4.1,6.8,4.6,7,4.7,4.4,8.5,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.2,5.1,4.1,6.4,3.6,6.4,5.3,5.8,9.9,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.2,5.4,4.7,7.3,3.7,7.4,6.2,5.7,9.5,NaN,NaN,9.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6
7.8,5.3,4.5,9.1,4.4,8.1,5.9,4.9,8.3,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4
6.5,5.2,5,11.5,5.5,8.6,5.3,5.4,8.2,NaN,NaN,14.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.4,4.8,5.2,11,5.6,8.6,5.7,4.8,8.9,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8
6.7,4.8,4.4,10.3,5.8,9.9,5.9,5.1,8.6,NaN,NaN,14.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.6,4.9,4.4,8.2,5.7,9.9,6.4,4.4,8.7,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.7,5,5.4,10.4,6,10.7,6.9,4.8,7.5,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6
8.4,4.3,3.7,7.8,7,12.1,4.4,5.6,7.7,NaN,NaN,12.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.8,4,3,8.3,6.3,12,4,5.3,8.5,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,3.9,2.6,7.8,6.9,12.7,5.9,4.6,7.2,NaN,NaN,12.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5
6.8,4.4,2.4,8.4,7.3,12.3,4.3,4.1,7.4,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.5
5.8,4.7,1.8,8.2,7.3,12.6,7.2,4.2,8.5,NaN,NaN,12.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
7.3,3.2,2,8.7,7.6,12.5,5.3,4.8,12.1,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,2.8,1.8,9.2,8.3,12.3,6.3,4.8,10.8,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3
10.5,4,2.8,9,8.7,12.7,4.8,5.2,7.4,NaN,NaN,13.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9
9.9,4.2,3.9,9.3,9.1,12.3,6.5,4.9,6.1,NaN,NaN,12.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6,4.2,4.4,8.6,8.8,12.5,5.2,4.8,8,NaN,NaN,12.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4
7.9,4.8,4.1,8,9.5,12.9,8.4,5.2,7.8,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5
8.8,4.7,3.5,6.7,9.5,12.6,10.7,5.4,8.5,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7
6.4,2.9,3.6,6.6,9.9,12.4,3.6,6.1,7.1,NaN,NaN,11.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
5.5,2,3.6,5.1,9.5,12.5,4.6,6.5,6.8,NaN,NaN,11.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2
5.9,2.6,3.3,5.1,9.8,11.6,5,6.3,7.6,NaN,NaN,11.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4
5.9,3.8,5,5.9,11.2,11.6,3.8,6,7.5,NaN,NaN,11.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4
5.2,3.7,5.1,5.7,10.9,11.4,10.6,6.3,7.4,NaN,6,11.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9
5.1,8.6,5.4,4.8,11.2,12.4,7.2,6,7.7,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.9,7.6,4.9,4.5,10.9,12.5,10.6,7.2,7.7,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN
4.2,9.1,5.3,4.7,12.1,10.9,11.2,6.7,6.8,NaN,8,10.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6,10.2
3.9,8.6,5,4.9,9.6,11.6,11.2,6.1,6.5,NaN,9.6,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5,10.2
3.4,8.4,6,5.1,11.4,12.4,8.9,6.4,6,NaN,9.4,10.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,NaN
2.7,8.4,5.3,5.5,11.8,11.7,12.4,6.5,6.9,NaN,9.2,9.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2,9.2
2.8,7.8,5.9,5.5,12.1,11.9,13.8,6.4,6.3,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,8.1
2.3,7.1,4,5.4,11.8,11.7,12.4,6.5,6.6,NaN,8.5,8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6,8.2
2.5,5.6,4.1,4.9,13.3,12,11.4,6.5,6,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1,8.3
2.6,5,3,4.3,9.2,11.1,10.5,6.3,7.8,NaN,NaN,8.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7,8.6
4.4,4,2.3,3.7,8.5,11.8,10.6,5.9,8.2,NaN,11.7,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,7.8
6.4,4.6,2,2.9,9.7,11.7,11.1,5.8,8.5,NaN,10.8,7.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,8.5
3.2,4.4,0.8,2,9.3,10.4,10.5,5.3,9,NaN,10.8,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,7.1
4,4.9,0.9,2.6,7.6,10.1,10,5.8,8,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3
6,5.5,1.3,1.6,8.7,9.7,10.5,4.3,7.9,NaN,7.3,6.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5
5.6,6.4,2.4,2.7,8.4,9.6,9.9,5.8,6.5,NaN,3.3,7.9
